CODE LOC,CODE REGION,REGION,CODE PREFECTURE,PREFECTURE,CODE COMMUNE,COMMUNE,CODE CANTON/QUARTIER,CANTON/QUARTIER,CODE MILIEU,MILIEU,CODE VILLAGE/QUARTIER,VILLAGE/QUARTIER,CODE HAMEAU/FERME,HAMEAU/FERME,TYPE,LONGITUDE,LATITUDE
110512101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,12,VOGOME,1,URBAIN,1,ZANGUERA=VOGOME,1,ZANGUERA=VOGOME,Q,1.097836,6.234717
110518101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,18,AFIADEGNIGBA,1,URBAIN,1,ZANGUERA=AFIADEGNIGBA,1,ZANGUERA=AFIADEGNIGBA,Q,1.099323,6.255785
110510101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,10,ANYIGBE,1,URBAIN,1,ZANGUERA=ANYIGBE,1,ZANGUERA=ANYIGBE,Q,1.106175,6.227127
110516101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,16,AGBLELIKO,1,URBAIN,1,ZANGUERA=AGBLELIKO,1,ZANGUERA=AGBLELIKO,Q,1.106457,6.247352
110522101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,22,DANGBESSITO,1,URBAIN,1,ZANGUERA=DANGBESSITO,1,ZANGUERA=DANGBESSITO,Q,1.111273,6.259858
110514101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,14,KOPEGAN,1,URBAIN,1,ZANGUERA=KOPEGAN,1,ZANGUERA=KOPEGAN,Q,1.111741,6.243466
110520101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,20,KLIKAME,1,URBAIN,1,ZANGUERA=KLIKAME,1,ZANGUERA=KLIKAME,Q,1.117108,6.244930
110508101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,8,DEKPO SANGUERA,1,URBAIN,1,ZANGUERA=DEKPO SANGUERA,1,ZANGUERA=DEKPO SANGUERA,Q,1.117939,6.230635
110226101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,26,BOKPOKO,1,URBAIN,1,LEGBASSITO=BOKPOKO,1,LEGBASSITO=BOKPOKO,Q,1.123617,6.259804
110230101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,30,AVINATO,1,URBAIN,1,LEGBASSITO=AVINATO,1,LEGBASSITO=AVINATO,Q,1.124506,6.267512
110526101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,26,SANYRAKO,1,URBAIN,1,ZANGUERA=SANYRAKO,1,ZANGUERA=SANYRAKO,Q,1.125043,6.237400
110228101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,28,SILIVI KOPE ou ADIDOME,1,URBAIN,1,LEGBASSITO=SILIVI KOPE ou ADIDOME,1,LEGBASSITO=SILIVI KOPE ou ADIDOME,Q,1.125312,6.265383
110506101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,6,ATIGAN COPE,1,URBAIN,1,ZANGUERA=ATIGAN COPE,1,ZANGUERA=ATIGAN COPE,Q,1.125473,6.226639
110504101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,4,KLEME SANGUERA,1,URBAIN,1,ZANGUERA=KLEME SANGUERA,1,ZANGUERA=KLEME SANGUERA,Q,1.126303,6.221353
110524101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,24,TAGA KOPE,1,URBAIN,1,ZANGUERA=TAGA KOPE,1,ZANGUERA=TAGA KOPE,Q,1.131078,6.249807
110236101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,36,MADJIKPETO,1,URBAIN,1,LEGBASSITO=MADJIKPETO,1,LEGBASSITO=MADJIKPETO,Q,1.131570,6.263513
110530101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,30,ZOPOMAHE,1,URBAIN,1,ZANGUERA=ZOPOMAHE,1,ZANGUERA=ZOPOMAHE,Q,1.132575,6.231255
110224101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,24,ASSIKO,1,URBAIN,1,LEGBASSITO=ASSIKO,1,LEGBASSITO=ASSIKO,Q,1.133797,6.251560
110528101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,28,EZION KOPE,1,URBAIN,1,ZANGUERA=EZION KOPE,1,ZANGUERA=EZION KOPE,Q,1.134025,6.242062
110222101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,22,DOUTHE KOPE,1,URBAIN,1,LEGBASSITO=DOUTHE KOPE,1,LEGBASSITO=DOUTHE KOPE,Q,1.135438,6.244033
110220101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,20,AMADENTA ANAGLI KOPE,1,URBAIN,1,LEGBASSITO=AMADENTA ANAGLI KOPE,1,LEGBASSITO=AMADENTA ANAGLI KOPE,Q,1.137491,6.245767
110502101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,2,KOHE,1,URBAIN,1,ZANGUERA=KOHE,1,ZANGUERA=KOHE,Q,1.137565,6.224017
110232101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,32,ATHIEME AHONKPOE,1,URBAIN,1,LEGBASSITO=ATHIEME AHONKPOE,1,LEGBASSITO=ATHIEME AHONKPOE,Q,1.137768,6.255920
110218101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,18,AMEDENTA AKI KOPE,1,URBAIN,1,LEGBASSITO=AMEDENTA AKI KOPE,1,LEGBASSITO=AMEDENTA AKI KOPE,Q,1.140187,6.247733
110238101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,38,ZOVADJIN,1,URBAIN,1,LEGBASSITO=ZOVADJIN,1,LEGBASSITO=ZOVADJIN,Q,1.140292,6.266258
110234101001,1,DAGL,10,AGOE-NYIVE,2,AGOE-NYIVE 2,34,ATHIEME,1,URBAIN,1,LEGBASSITO=ATHIEME,1,LEGBASSITO=ATHIEME,Q,1.140818,6.255815
110532101001,1,DAGL,10,AGOE-NYIVE,5,AGOE-NYIVE 5,32,NANEGBE,1,URBAIN,1,ZANGUERA=NANEGBE,1,ZANGUERA=NANEGBE,Q,1.143238,6.229348
