id,title,sector_name,administrative_level,estimated_cost,investment_status,project_status
8436,10 hangars,Hangar de marché,SAWARAROU,2166667,p,N
8618,15 lampadaire solaires pour l'éclairage du marché de Tchatchou,Éclairage public solaire,BOUKOUSSÉRA,2166667,p,N
8278,1)   accompagnement des femmes pour le jardinage,Aménagement,WONKO DE NIKKI,2166667,p,N
8283,1)   Accompagnement des jeunes dans la formation en entrepreneuriat,Equipement,WONKO DE NIKKI,2166667,p,N
10075,1-Aider les artisans à s’installer après leurs formation en leur dotant de matériels de travail,Equipement,GAROU-BÉRI,2166667,p,N
14472,1-Amélioration de l'accès à l'eau potable à Travers la réalisation de quatre (4) forages photovoltaïques,Forage simple,BOSSO-CAMPS-PEULHS,2166667,p,N
14511,1-Amélioration de l'accès à l'eau potable à Travers la réalisation de trois (3) forages photovoltaïques,Forage simple,TOUROU-PALAIS-ROYAL,2166667,p,N
14531,"1_Amélioration de l'accès à l'eau potable à travers réalisation de trois (03) forage (Zongo, Tabayelou ; entre CEG et marché à bétail",Forage + abreuvoir,SOUROU,2166667,p,N
14452,"1-Amélioration de l’accès à l’éducation, à l’hygiène et à l’assainissement à travers la construction d’un module de trois (03) classes + un bloc de latrine à trois (3) cabines",Blocs de latrines publiques modernes,MONNON DE PARAKOU1,2166667,p,N
14374,1-Amélioration de l’accès à l’éducation à travers la construction d’un module de trois classes avec mobilier à l’EPP Tibona,Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires,ALBARIKA,2166667,p,N
14394,1-Amélioration de l'accès à l'éducation à travers la construction d’un module de trois classes plus mobilières à l’EPP Donwari,Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires,THIAN,2166667,p,N
14491,"1-. Amélioration de l'accès à l'éducation à travers la réalisation de la clôture de l’EPP Tourou Dispensaire (1036,23 mètres)",Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires,TOUROU-DISPENSAIRE,2166667,p,N
14536,1-Amélioration de l'accès au marché à Travers la construction de 4 hangars dans le marché à bétail,Hangar de marché,SOUROU,2166667,p,N
14379,1-Amélioration de l’accès au marché à travers la construction de de six hangars modernes dans le marché de Tibona,Hangar de marché,ALBARIKA,2166667,p,N
14457,1-Amélioration de l’accès au marché à travers la construction de dix (10) hangars moderne dans le marché de TOUROU Monnon,Hangar de marché,MONNON DE PARAKOU1,2166667,p,N
14399,1. Amélioration de l’accès aux marchés à travers de construction de 6 hangars de six places modernes dans le marché de Thian,Hangar de marché,THIAN,2166667,p,N
14496,1. Amélioration de l’accès aux marchés à travers de construction de 6 hangars de six places modernes dans le marché de Tourou 1,Hangar de marché,TOUROU-DISPENSAIRE,2166667,p,N
14477,1-Amélioration de l’accès aux marchés à travers la construction de 6 hangars moderne,Hangar de marché,BOSSO-CAMPS-PEULHS,2166667,p,N
14437,1-Amélioration de l’accès aux marchés à travers la construction de 6 hangars modernes,Hangar de marché,BANIKANNI-DOUWÉROU,2166667,p,N
14414,1-Amélioration de l’éclairage public à travers l’acquisition de 30 lampadaires solaires,Éclairage public solaire,KPÉROU-GUÉRA,2166667,p,N
9285,1) Amélioration des activités d'épanouissement des jeunes  à travers la construction d’une maison des jeunes plus équipements et/ou acquisitions diverses  à kompa,Infrastructure,DANGAZORI,2166667,p,N
9900,1- Amélioration des activités d'épanouissement des jeunes à travers l'aménagement sommaire d’un terrain de football + Equipements sportifs,Terrain de football,MADÉCALI-ZONGO,2166667,p,N
9920,1-Amélioration des activités d'épanouissement des jeunes à travers l'aménagement sommaire d’un terrain de football + Equipements sportifs,Terrain de football,ILLOUA,2166667,p,N
9245,1) Amélioration des activités d'épanouissement des jeunes de Banizoubou à travers la construction d’une maison des jeunes plus équipements et/ou acquisitions diverses à Kompa,Infrastructure,BANIZOUMBOU,2166667,p,N
9265,1) Amélioration des activités d'épanouissement des jeunes de Goungoun-Béri à travers la construction d’une maison des jeunes plus équipements et/ou acquisitions diverses à Kompa,Infrastructure,GOUNGOU-BÉRI,2166667,p,N
9255,1) Amélioration des conditions de conservation des céréales à travers la construction d'un magasin de stockage à Kompa,Magasin de stockage,GOUNGOU-BÉRI,2166667,p,N
9235,1) Amélioration des conditions de conservation des produits à travers la construction d'un magasin de stockage au marché de Kompa,Magasin de stockage,BANIZOUMBOU,2166667,p,N
9275,1) Amélioration des conditions de conservation des produits à travers la construction d'un magasin de stockage dans le marché de Kompa,Magasin de stockage,DANGAZORI,2166667,p,N
9240,1) Amélioration des conditions de production  à travers l'acquisition de motopompes pour la culture contre saison profit deq riziculteurs de Banizoumbou,Forage simple,BANIZOUMBOU,2166667,p,N
9280,1) Amélioration des conditions de production de riz à travers l'acquistion de Motopompes au profit des producteurs de riz de Dangazori,Forage simple,DANGAZORI,2166667,p,N
9260,1) Amélioration des conditions de production du riz à travers l'acquisitions de Motopompes au profit des riziculteurs de Goungoun-Béri,Forage simple,GOUNGOU-BÉRI,2166667,p,N
9230,"1) Amélioration des conditions de travail des élèves et enseignants à travers la construction d’un module de trois de classe + bureau et magasin, Équipement et/ou acquisitions diverses  à l'EPP Kompa",Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires,BANIZOUMBOU,2166667,p,N
9270,"1) Amélioration des conditions de travail des élèves et enseignants à travers la construction d’un module de trois de classe + bureau et magasin, Équipement et/ou acquisitions diverses  pour l’EPP Chagarana",Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires,DANGAZORI,2166667,p,N
9950,1-Amélioration des recettes locales à travers la construction de hangars + acquisition de lampadaires solaires,Éclairage public solaire,KASSA,2166667,p,N
9890,1-Amélioration des recettes locales à travers la construction de hangars + acquisition de lampadaires solaires au niveau de l'embarcadère,Éclairage public solaire,MADÉCALI-ZONGO,2166667,p,N
