administrative_level_name,administrative_level_id
AFELE-BALANKA,6
ALEGBA,7
BALANKA,8
BELAGNI,9
OKOUTAGOGO,10
KOKODJALA,11
PARAMPA,12
GOUKANGOULOUROU,13
ATONTOMI,14
AGBANSIKITI,16
ATAFA 2,17
BOLEA,18
DOGODE,19
KABOLI,20
KATANKOU,21
SOLIMBIA,22
GOUDIMA,23
SAMAI,24
ODORIN,25
LAKABA,26
KALA 2,27
ALAMBOURGOU,32
ASSERE,33
FALADE,34
KAGNIGADA,35
KAGNISSI,36
KAWA,37
KPANAHORE,38
PAGOUDA,39
SOMSIA,40
TANFAROU,41
WAZE,42
ASSIMA,45
KADJANGA,46
KETAO,47
TERODA,48
BOMWAÏ,49
BOADE CENTRE,54
GANGA 1,55
GANGA 2,56
GROUPEMENT PEUHL WOURI-WOURI,57
KASSOU 1,58
KASSOU 2,59
KORENZOAGA 1,60
NAPOGO,61
SANDOGO,62
WOURI-WOURI,63
ZAMISSI,64
ZINTANGO,65
KORENZOAGA 2,66
BAMPA,67
BARGOUNDE,69
GOYAMBA 1,70
KODAGO,71
KOWONGO,72
SAYODE,73
TAMPILENGO,74
TANYTCHINGOU 1,75
TANYTCHINGOU 2,76
TIMANGA (CINKASSE),77
WOMNOGO,78
GOYAMBA 2,79
CINKASSE CENTRE,80
WATINOMA,81
PIZOSGO 1,82
PIZOSGO 2,83
LOUME,84
KALYADA,85
NONLEDE,86
ZOLALE,87
BOUSSANGA 1,88
SILIMISSI,89
NOGO,90
KOMOULOGOU 1,91
KOMOULOGOU 2,92
SIAMBIN,93
POGOYOGO 1,94
POGOYOGO 2,95
YIEGOU (CINKASSE),96
BOUSSANGA 2,97
KPALBIAGA 1,98
KPALBIAGA 2,99
BINGOULA,101
DAOUKOU,102
GANGA,103
GNOAGA CENTRE,104
GNOAGA-MOSSI,105
KOUPELGOU,106
WANRE,107
YIKOUTIN,108
YOUMAKOU,109
GOULOUNGOUSSI CENTRE/NATINGA,111
KOKNOGO,112
KONTONYOBE,113
KODINZOAGA,114
KOULTAMSÉ,115
TENNOGO,116
ZOUBEKO,117
SINOGO,118
LANGANDE,119
KPONDJOARE,122
SAMOMONI,123
MAMPOATE 1,124
MAMPOATE 2,125
MAMPOATE 3,126
KANGBETCHOAGUE 1,127
KANGBETCHOAGUE 2,128
KANBGBE,129
YOAKPATE 1,130
YOAKPATE 2,131
YOAKPATE 3,132
TONGA 1,133
TONGA 2,134
NASSONGUE (BIANKOURI),135
GNANKPONGUE 1,136
GNANKPONGUE 2,137
SAWALDJOAGUE 1,138
SAWALDJOAGUE 2,139
NOAMBITITE 1,140
NOAMBITITE 2,141
GBATIMANOU,142
KPANDINTANGUE,143
KONGO,144
GABONGBONG 1,145
GABONGBONG 2,146
KPINDJIAME,147
GARO 1,148
GARO 2,149
KONKOMONTE,150
KALAO,151
LIYETIELOU,152
TIMPIONGUE,153
TOUKOANE,154
BABIGOU (NADJOUNDI),156
BABIKPERGOU,157
BATPOTCHA,158
BOLA,159
DJEGUINE,160
NADJOUNDORE,161
NALONGUE (NADJOUNDI),162
NASSONGUE (NADJOUNDI),163
NASSONGUE BANAME,164
NASSONGUE PALMANGUE,165
NATONE,166
PILOUGOU,167
TIMANGUE (NADJOUNDI),168
TODJINGUE,169
DJASSAKTE,170
FONWORGOU,171
FONWORGOU PEULH,172
BONDANTCHALE (NADJOUNDI),173
PILOUGOU CENTRE,174
PILOUGOUDO,175
YALGBONGBONGUE,176
BANKATIMOAGA (NADJOUNDI),177
BABIDJOARÉ,178
SANDAKOUANE,179
GOUADGBONGBONGUE,180
FLINGBONGUE (NADJOUNDI),181
NADJOUNDI CENTRE,182
NADJOUNDI MARCHÉ,183
NADJOUNDI MOSSI,184
BABIGOU (SAM NABA),186
GABONI,187
NASSIEGOU (SAM NABA),188
SAFOBE 2,189
TINTARGUINE 1,190
TINTARGUINE 2,191
KALAGOU (SAM-NABA),192
SAM-NABA CENTRE,193
SALAMOU,194
YANGBONGBONGUE,195
NAGOLGBON,196
NATINGA 1,197
NATINGA 2,198
CENTRE PEULH,199
NAMOUDJOATE 2,200
BONDANTCHALE (SAM-NABA),201
PIZOSKO,202
WAMBAGOU,203
TAMBERKPÉMONE,204
WONTABA,205
NASSABLE 1,207
KPEGUIDJENTE PEUHL,208
DATOULONTE (TIMBOU),209
DJALOTOUGOU,210
GARO (TIMBOU),211
SAFOBE 1,212
